rank	score	gene_symbol	gene_identifier
1	0.9	FANCA	ENSG00000187741
2	0.85	FANCC	ENSG00000158169
3	0.8	FANCG	ENSG00000221829
4	0.75	FANCD2	ENSG00000144554
4	0.75	FANCE	ENSG00000112039
4	0.75	FANCF	ENSG00000183161
7	0.7	FANCB	ENSG00000181544
7	0.7	FANCL	ENSG00000115392
9	0.65	FANCI	ENSG00000140525
10	0.6	FANCM	ENSG00000187790
10	0.6	FANCJ	
10	0.6	BRCA2	ENSG00000139618
13	0.55	PALB2	ENSG00000083093
13	0.55	RAD51C	ENSG00000108384
15	0.5	BRIP1	ENSG00000136492
15	0.5	FANCP	
15	0.5	RAD51	ENSG00000051180
15	0.5	NF1	ENSG00000196712
19	0.4	TP53	ENSG00000141510
