rank	score	gene_symbol	gene_identifier
1	0.9	GP1BA	ENSG00000185245
1	0.9	GP1BB	ENSG00000203618
1	0.9	GP9	ENSG00000169704
4	0.8	ITGA2B	ENSG00000005961
4	0.8	ITGB3	ENSG00000259207
6	0.7	GP6	ENSG00000088053
6	0.7	GP5	ENSG00000178732
8	0.6	F2	ENSG00000180210
8	0.6	F5	ENSG00000198734
8	0.6	VWF	ENSG00000110799
11	0.5	THPO	ENSG00000090534
11	0.5	MPL	ENSG00000117400
13	0.4	GATA1	ENSG00000102145
13	0.4	RUNX1	ENSG00000159216
15	0.3	ANKRD26	ENSG00000107890
15	0.3	MYH9	ENSG00000100345
17	0.2	FLI1	ENSG00000151702
