rank	score	gene_symbol	gene_identifier
1	0.9	SCN1A	ENSG00000144285
2	0.85	MECP2	ENSG00000169057
3	0.8	CDKL5	ENSG00000008086
4	0.75	STXBP1	ENSG00000136854
5	0.7	FOXG1	ENSG00000176165
6	0.65	UBE3A	ENSG00000114062
7	0.6	SLC6A8	ENSG00000130821
8	0.55	ARX	ENSG00000004848
9	0.5	TSC1	ENSG00000165699
9	0.5	TSC2	ENSG00000103197
11	0.45	FMR1	ENSG00000102081
12	0.4	PAFAH1B1	ENSG00000007168
13	0.35	ADSL	ENSG00000239900
14	0.3	MDR1	ENSG00000085563
15	0.25	SYNGAP1	ENSG00000197283
16	0.2	GABRA1	ENSG00000022355
17	0.15	GABRB3	ENSG00000166206
18	0.1	GABRG2	ENSG00000113327
19	0.05	ALG13	ENSG00000101901
