rank	score	gene_symbol	gene_identifier
1	0.95	SURF1	ENSG00000148290
2	0.93	SCO2	ENSG00000284194
3	0.9	COX10	ENSG00000006695
4	0.87	COX15	ENSG00000014919
5	0.85	LRPPRC	ENSG00000138095
6	0.83	POLG	ENSG00000140521
7	0.81	TK2	ENSG00000166548
8	0.79	TWNK	ENSG00000107815
9	0.77	SDHA	ENSG00000073578
10	0.75	MT-ATP6	ENSG00000198899
11	0.73	MT-ATP8	ENSG00000228253
12	0.71	NDUFS1	ENSG00000023228
13	0.69	NDUFS4	ENSG00000164258
14	0.67	ETFA	ENSG00000140374
15	0.65	ETFB	ENSG00000105379
16	0.63	ETFDH	ENSG00000171503
17	0.61	ACAD9	ENSG00000177646
18	0.59	BCS1L	ENSG00000074582
