rank	score	gene_symbol	gene_identifier
1	0.9	ATM	ENSG00000149311
2	0.8	SETX	ENSG00000107290
3	0.7	TERT	ENSG00000164362
3	0.7	TINF2	ENSG00000092330
5	0.6	ACO2	ENSG00000100412
5	0.6	POLG	ENSG00000140521
5	0.6	FXN	ENSG00000165060
8	0.5	RFC2	ENSG00000049541
8	0.5	ABCB7	ENSG00000131269
8	0.5	RPL5	ENSG00000122406
8	0.5	RPL11	ENSG00000142676
12	0.4	RPL35A	ENSG00000182899
12	0.4	ERCC4	ENSG00000175595
12	0.4	SLC25A38	ENSG00000144659
12	0.4	ALAS2	ENSG00000158578
16	0.3	SRP54	ENSG00000100883
16	0.3	GATA1	ENSG00000102145
16	0.3	KIF1A	ENSG00000130294
16	0.3	EPO	ENSG00000130427
20	0.2	CSF2RA	ENSG00000198223
