rank	score	gene_symbol	gene_identifier
1	0.9	VLCAD	
2	0.85	SCN1A	ENSG00000144285
3	0.8	PCCA	ENSG00000175198
3	0.8	PC	ENSG00000173599
3	0.8	PDHA1	ENSG00000131828
6	0.75	LDHA	ENSG00000134333
6	0.75	GALC	ENSG00000054983
8	0.7	GJB2	ENSG00000165474
8	0.7	OCRL	ENSG00000122126
10	0.65	PAH	ENSG00000171759
10	0.65	ARSA	ENSG00000100299
12	0.6	ALS2	ENSG00000003393
12	0.6	CPT2	ENSG00000157184
12	0.6	CTSD	ENSG00000117984
15	0.55	HADHA	ENSG00000084754
15	0.55	SPG7	ENSG00000197912
15	0.55	TTPA	ENSG00000137561
