rank	score	gene_symbol	gene_identifier
1	0.95	JAG1	ENSG00000101384
2	0.9	ABCB11	ENSG00000073734
3	0.85	ATP8B1	ENSG00000081923
4	0.8	ABCB4	ENSG00000005471
5	0.75	SERPINA1	ENSG00000197249
6	0.7	HFE	ENSG00000010704
7	0.65	FAH	ENSG00000103876
8	0.6	BSEP	ENSG00000073734
9	0.55	ALDOB	ENSG00000136872
10	0.5	SLC25A13	ENSG00000004864
11	0.45	G6PC	ENSG00000131482
12	0.4	UGT1A1	ENSG00000241635
13	0.35	NR1H4	ENSG00000012504
14	0.3	TJP2	ENSG00000119139
15	0.25	NPC1	ENSG00000141458
16	0.2	NPC2	ENSG00000119655
