rank	score	gene_symbol	gene_identifier
1	0.9	KCNQ1	ENSG00000053918
2	0.85	RYR2	ENSG00000198626
2	0.85	SCN5A	ENSG00000183873
4	0.8	ANK2	ENSG00000145362
5	0.75	CACNA1C	ENSG00000151067
6	0.7	KCNE1	ENSG00000180509
6	0.7	KCNE2	ENSG00000159197
8	0.65	KCNH2	ENSG00000055118
9	0.6	CAV3	ENSG00000182533
10	0.55	LMNA	ENSG00000160789
11	0.5	SLC22A5	ENSG00000197375
12	0.45	ACADM	ENSG00000117054
13	0.4	ETFA	ENSG00000140374
13	0.4	ETFB	ENSG00000105379
13	0.4	ETFDH	ENSG00000171503
16	0.35	LDLR	ENSG00000130164
17	0.3	RYR1	ENSG00000196218
17	0.3	CPT2	ENSG00000157184
19	0.25	FKRP	ENSG00000181027
19	0.25	POMT1	ENSG00000130714
21	0.2	DMD	ENSG00000198947
