rank	score	gene_symbol	gene_identifier
1	0.95	DMD	ENSG00000198947
2	0.9	FKRP	ENSG00000181027
3	0.85	LMNA	ENSG00000160789
4	0.8	CAPN3	ENSG00000092529
5	0.75	RYR1	ENSG00000196218
6	0.7	ANO5	ENSG00000171714
7	0.65	DYSF	ENSG00000135636
8	0.6	TTN	ENSG00000155657
9	0.55	COL6A1	ENSG00000142156
10	0.5	COL6A2	ENSG00000142173
11	0.45	COL6A3	ENSG00000163359
12	0.4	LAMA2	ENSG00000196569
13	0.35	SEPN1	ENSG00000162430
14	0.3	SGCG	ENSG00000102683
15	0.25	MTM1	ENSG00000171100
16	0.2	DNAJB6	ENSG00000105993
17	0.15	FLNC	ENSG00000128591
