rank	score	gene_symbol	gene_identifier
1	0.9	SPG7	ENSG00000197912
2	0.8	ATXN1	ENSG00000124788
3	0.7	ATXN2	ENSG00000204842
4	0.6	ATXN3	ENSG00000066427
5	0.5	C9orf72	ENSG00000147894
6	0.4	SPAST	ENSG00000021574
7	0.3	FXN	ENSG00000165060
8	0.2	PPP2R2B	ENSG00000156475
9	0.1	ATXN7	ENSG00000163635
9	0.1	ATXN8OS	ENSG00000230223
9	0.1	TBP	ENSG00000112592
9	0.1	ATP7B	ENSG00000123191
9	0.1	PLP1	ENSG00000123560
9	0.1	SACS	ENSG00000151835
9	0.1	ARSACS	
9	0.1	ELOVL5	ENSG00000012660
9	0.1	SYNE1	ENSG00000131018
