rank	score	gene_symbol	gene_identifier
1	0.9	DMD	ENSG00000198947
2	0.8	COL6A3	ENSG00000163359
2	0.8	COL6A2	ENSG00000142173
2	0.8	COL6A1	ENSG00000142156
5	0.75	LAMA2	ENSG00000196569
6	0.7	SGCG	ENSG00000102683
7	0.65	FKRP	ENSG00000181027
7	0.65	POMT1	ENSG00000130714
9	0.6	TTN	ENSG00000155657
9	0.6	SGCA	ENSG00000108823
11	0.5	LMNA	ENSG00000160789
11	0.5	POMT2	ENSG00000009830
11	0.5	DYSF	ENSG00000135636
11	0.5	RYR1	ENSG00000196218
11	0.5	CAPN3	ENSG00000092529
16	0.4	ANO5	ENSG00000171714
16	0.4	GAA	ENSG00000171298
16	0.4	BIN1	ENSG00000136717
19	0.3	MTM1	ENSG00000171100
19	0.3	DOK7	ENSG00000175920
19	0.3	NEB	ENSG00000183091
22	0.2	POMGNT1	ENSG00000085998
22	0.2	SYNE1	ENSG00000131018
24	0.1	MYOT	ENSG00000120729
24	0.1	GFPT1	ENSG00000198380
