rank	score	disease_name	disease_identifier
1	0.95	Glycogen storage disease type I	OMIM:232200
2	0.85	Niemann-Pick disease type C	OMIM:257220
3	0.75	Zellweger spectrum disorders	OMIM:214100
4	0.7	Alagille syndrome	OMIM:118450
5	0.65	Mitochondrial DNA depletion syndrome	OMIM:251880
6	0.6	Gaucher disease	OMIM:230800
7	0.55	Tyrosinemia Type I	OMIM:276700
8	0.5	Progressive familial intrahepatic cholestasis	OMIM:211600
9	0.45	Congenital disorders of glycosylation	OMIM:212065
10	0.4	Wolman disease	OMIM:278000
