rank	score	gene_symbol	gene_identifier
1	0.95	ZAP70	ENSG00000115085
2	0.93	RAG1	ENSG00000166349
3	0.91	RAG2	ENSG00000175097
4	0.89	IL2RG	ENSG00000147168
5	0.88	JAK3	ENSG00000105639
6	0.86	DCLRE1C	ENSG00000152457
7	0.85	FOXN1	ENSG00000109101
8	0.83	CD3D	ENSG00000167286
9	0.81	CD3E	ENSG00000198851
10	0.79	CD3G	ENSG00000160654
11	0.78	CORO1A	ENSG00000102879
12	0.76	RFXANK	ENSG00000064490
13	0.74	RFX5	ENSG00000143390
14	0.73	RFXAP	ENSG00000133111
15	0.71	IKZF1	ENSG00000185811
16	0.69	LCK	ENSG00000182866
17	0.68	PTPN22	ENSG00000134242
18	0.66	BTK	ENSG00000010671
19	0.65	TNFRSF13B	ENSG00000240505
20	0.63	DOCK8	ENSG00000107099
