rank	score	gene_symbol	gene_identifier
1	0.95	ALOX12B	ENSG00000179477
2	0.93	ALOXE3	ENSG00000179148
3	0.91	TGM1	ENSG00000092295
4	0.87	ABCA12	ENSG00000144452
5	0.85	CYP4F22	ENSG00000171954
6	0.84	NIPAL4	ENSG00000172548
7	0.82	PNPLA1	ENSG00000180316
8	0.81	CERS3	ENSG00000154227
9	0.79	KRT2	ENSG00000172867
10	0.78	MBTPS2	ENSG00000012174
11	0.75	ABHD5	ENSG00000011198
12	0.73	LIPN	ENSG00000204020
13	0.72	SLC27A4	ENSG00000167114
14	0.7	GJB2	ENSG00000165474
15	0.68	KRT10	ENSG00000186395
16	0.65	KRT1	ENSG00000167768
