rank	score	gene_symbol	gene_identifier
1	1.0	TSC1	ENSG00000165699
2	0.8571428571428571	FANCC	ENSG00000158169
3	0.8333333333333334	NF1	ENSG00000196712
4	0.8	BBS5	ENSG00000163093
4	0.8	COL4A5	ENSG00000188153
4	0.8	LAMA3	ENSG00000053747
4	0.8	MYH9	ENSG00000100345
4	0.8	SLC2A9	ENSG00000109667
9	0.7777777777777778	AGRN	ENSG00000188157
9	0.7777777777777778	GALT	ENSG00000213930
9	0.7777777777777778	GFI1B	ENSG00000165702
9	0.7777777777777778	MYOT	ENSG00000120729
13	0.75	COL2A1	ENSG00000139219
13	0.75	FGFR3	ENSG00000068078
13	0.75	FOXF1	ENSG00000103241
