rank	score	gene_symbol	gene_identifier
1	0.95	TSC1	ENSG00000165699
2	0.92	FGFR3	ENSG00000068078
3	0.9	EP300	ENSG00000100393
4	0.88	NPR2	ENSG00000159899
5	0.85	TFAP2A	ENSG00000137203
6	0.84	RAI1	ENSG00000108557
7	0.82	RYR2	ENSG00000198626
8	0.8	APTX	ENSG00000137074
9	0.78	PNPLA6	ENSG00000032444
10	0.76	EPG5	ENSG00000152223
11	0.75	MYH3	ENSG00000109063
12	0.74	DHCR7	ENSG00000172893
13	0.7	CRYM	ENSG00000103316
14	0.68	PRPF31	ENSG00000105618
15	0.66	ACVR2B	ENSG00000114739
16	0.64	SCN5A	ENSG00000183873
