rank	score	gene_symbol	gene_identifier
1	0.9	CHD7	ENSG00000171316
2	0.85	DHCR7	ENSG00000172893
3	0.8	FGFR2	ENSG00000066468
4	0.75	EP300	ENSG00000100393
5	0.7	TGFBR1	ENSG00000106799
6	0.65	TGFBR2	ENSG00000163513
7	0.6	SMAD3	ENSG00000166949
8	0.55	ERF	ENSG00000105722
9	0.5	ATP6V1E1	ENSG00000131100
10	0.45	HERC2	ENSG00000128731
11	0.4	FLNB	ENSG00000136068
12	0.35	NIPBL	ENSG00000164190
13	0.3	SPTA1	ENSG00000163554
14	0.25	LAMA3	ENSG00000053747
15	0.2	ERCC6	ENSG00000225830
16	0.15	DYRK1A	ENSG00000157540
