rank	score	disease_name	disease_identifier
1	0.7872340425531915	Noonan syndrome	OMIM:163950
2	0.5319148936170213	Kabuki syndrome	OMIM:147920
3	0.5106382978723404	Cornelia de Lange syndrome	OMIM:122470
4	0.4787234042553192	Rubinstein-Taybi syndrome	OMIM:180849
5	0.45588235294117646	CHARGE syndrome	OMIM:214800
5	0.45588235294117646	Coffin-Siris syndrome	OMIM:135900
7	0.43617021276595747	Smith-Lemli-Opitz syndrome	OMIM:270400
8	0.40625	Williams syndrome	OMIM:194050
9	0.38235294117647056	Sotos syndrome	OMIM:117550
10	0.3617021276595745	Cornelia de Lange syndrome 4	OMIM:614701
