rank	score	gene_symbol	gene_identifier
1	0.91	SOX3	ENSG00000134595
2	0.88	ZEB2	ENSG00000169554
3	0.86	AIP	ENSG00000110711
4	0.85	MECP2	ENSG00000169057
5	0.84	CDKL5	ENSG00000008086
6	0.82	UBE3A	ENSG00000114062
7	0.8	FOXG1	ENSG00000176165
8	0.78	SYN1	ENSG00000008056
9	0.76	EEF1A2	ENSG00000101210
10	0.75	SLC9A6	ENSG00000198689
11	0.73	SCN1A	ENSG00000144285
12	0.71	SETD2	ENSG00000181555
13	0.69	PCDH19	ENSG00000165194
14	0.67	CDKL5	ENSG00000008086
15	0.66	TSC2	ENSG00000103197
16	0.64	SHANK3	ENSG00000251322
17	0.62	PTPN11	ENSG00000179295
18	0.6	CASK	ENSG00000147044
19	0.59	HDAC8	ENSG00000147099
20	0.57	ARX	ENSG00000004848
