rank	score	gene_symbol	gene_identifier
1	0.93	MECP2	ENSG00000169057
2	0.91	UBE3A	ENSG00000114062
3	0.9	FMR1	ENSG00000102081
4	0.89	SHANK3	ENSG00000251322
5	0.88	CDKL5	ENSG00000008086
6	0.85	PTEN	ENSG00000171862
7	0.82	FOXG1	ENSG00000176165
8	0.8	NLGN3	ENSG00000196338
9	0.78	NLGN4X	ENSG00000146938
10	0.75	TCF4	ENSG00000196628
11	0.73	CTNNB1	ENSG00000168036
12	0.71	ADSL	ENSG00000239900
13	0.69	ASXL1	ENSG00000171456
14	0.68	ARX	ENSG00000004848
15	0.67	BCL11A	ENSG00000119866
16	0.66	CACNA1A	ENSG00000141837
17	0.64	GABRB3	ENSG00000166206
18	0.62	OTUD6B	ENSG00000155100
19	0.6	ZEB2	ENSG00000169554
20	0.58	DYRK1A	ENSG00000157540
