rank	score	gene_symbol	gene_identifier
1	0.9	KMT2A	ENSG00000118058
2	0.85	KDM6A	ENSG00000147050
3	0.8	TSC1	ENSG00000165699
4	0.75	TSC2	ENSG00000103197
5	0.7	ADNP	ENSG00000101126
6	0.65	MED12	ENSG00000184634
7	0.6	DYRK1A	ENSG00000157540
8	0.55	CHD7	ENSG00000171316
9	0.5	PTEN	ENSG00000171862
10	0.45	SYNGAP1	ENSG00000197283
11	0.4	EP300	ENSG00000100393
12	0.35	FOXP1	ENSG00000114861
13	0.3	EHMT1	ENSG00000181090
14	0.25	SETD5	ENSG00000168137
15	0.2	ANKRD11	ENSG00000167522
16	0.15	ASXL3	ENSG00000141431
