rank	score	gene_symbol	gene_identifier
1	1.0	BBS1	ENSG00000174483
2	0.95	BBS2	ENSG00000125124
3	0.9	BBS4	ENSG00000140463
4	0.85	BBS5	ENSG00000163093
5	0.8	ALMS1	ENSG00000116127
6	0.75	MKKS	ENSG00000125863
7	0.7	CEP290	ENSG00000198707
8	0.65	SDCCAG8	ENSG00000054282
9	0.6	TRIM32	ENSG00000119401
10	0.55	TTC8	ENSG00000165533
11	0.5	WDR19	ENSG00000157796
12	0.45	IFT27	ENSG00000100360
13	0.4	BBS9	ENSG00000122507
14	0.35	BBS10	ENSG00000179941
15	0.3	BBIP1	ENSG00000214413
16	0.25	BBS7	ENSG00000138686
17	0.2	LZTFL1	ENSG00000163818
