rank	score	gene_symbol	gene_identifier
1	0.9	AMN	ENSG00000166126
2	0.89	LAMA3	ENSG00000053747
3	0.87	FGFR3	ENSG00000068078
4	0.86	LOH12CR1	ENSG00000165714
5	0.85	SGCE	ENSG00000127990
6	0.82	GALC	ENSG00000054983
7	0.78	ELN	ENSG00000049540
8	0.77	SEMA3E	ENSG00000170381
9	0.75	NTRK1	ENSG00000198400
10	0.73	COL2A1	ENSG00000139219
11	0.72	TSC2	ENSG00000103197
12	0.7	CLCN5	ENSG00000171365
13	0.68	CTSC	ENSG00000109861
14	0.65	RUNX2	ENSG00000124813
15	0.62	OCRL	ENSG00000122126
16	0.6	HRAS	ENSG00000174775
