rank	score	disease_name	disease_identifier
1	0.8617021276595745	Coffin-Siris Syndrome 2	OMIM:614607
2	0.8404255319148937	Coffin-Siris Syndrome 1	OMIM:135900
3	0.7925531914893617	Rett Syndrome	OMIM:312750
4	0.6702127659574468	Cornelia De Lange Syndrome 1	OMIM:122470
5	0.6606382978723405	Rubinstein-Taybi Syndrome 1	OMIM:180849
6	0.6425531914893617	CHARGE Syndrome	OMIM:214800
7	0.6117021276595744	Sotos Syndrome 1	OMIM:117550
8	0.5925531914893617	FLOATING-HARBOR SYNDROME	OMIM:136140
9	0.5840425531914895	SCHINZEL-GIEDION MIDFACE RETRACTION SYNDROME	OMIM:269150
10	0.5468085106382979	Autistic Disorder	OMIM:209850
11	0.5340425531914894	Megaepiphyseal Dwarfism	OMIM:605274
12	0.5053191489361702	FRASER SYNDROME 1	OMIM:219000
13	0.4957446808510638	SMS	OMIM:182290
14	0.48936170212765956	Costello Syndrome	OMIM:218040
15	0.4680851063829787	Trisomy 13	OMIM:190685
