rank	score	disease_name	disease_identifier
1	1.0	Craniosynostosis 4	OMIM:600775
1	1.0	Craniosynostosis 3	OMIM:615314
1	1.0	?Craniosynostosis 6	OMIM:616602
4	0.9916	Baller-Gerold syndrome	OMIM:218600
5	0.9881	Curry-Jones syndrome, somatic mosaic	OMIM:601707
6	0.9778	Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 4	OMIM:619951
7	0.965	Craniosynostosis 2	OMIM:604757
8	0.9372	Pfeiffer syndrome type 1	ORPHA:93258
8	0.9372	Pfeiffer syndrome type 1	ORPHA:93258
10	0.9338	Hennekam lymphangiectasia-lymphedema syndrome 1	OMIM:235510
11	0.9329	Crouzon syndrome	OMIM:123500
12	0.9292	Structural brain anomalies with impaired intellectual development and craniosynostosis	OMIM:618736
13	0.9275	Muenke syndrome	OMIM:602849
14	0.924	Hyperphosphatasia with impaired intellectual development syndrome 2	OMIM:614749
15	0.8949	Carpenter syndrome	OMIM:201000
16	0.8927	Apert syndrome	OMIM:101200
17	0.8904	Craniosynostosis and dental anomalies	OMIM:614188
18	0.8878	Saethre-Chotzen syndrome	OMIM:101400
18	0.8878	Saethre-Chotzen syndrome with or without eyelid anomalies	OMIM:101400
20	0.8869	Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies	OMIM:619184
21	0.8866	Craniofacial dysplasia-short stature-ectodermal anomalies-intellectual disability syndrome	ORPHA:459061
21	0.8866	Craniofacial dysplasia-short stature-ectodermal anomalies-intellectual disability syndrome	ORPHA:459061
23	0.8844	3MC syndrome 1	OMIM:257920
24	0.8782	Muenke syndrome	ORPHA:53271
25	0.8703	Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome due to a point mutation	ORPHA:453504
26	0.8702	Teebi hypertelorism syndrome 1	OMIM:145420
27	0.8681	Meier-Gorlin syndrome 7	OMIM:617063
28	0.8597	Coffin-Siris syndrome 7	OMIM:618027
29	0.8573	Mowat-Wilson syndrome due to monosomy 2q22	ORPHA:261537
30	0.857	Pycnodysostosis	ORPHA:763
31	0.8537	Au-Kline syndrome	OMIM:616580
32	0.8534	Cole-Carpenter syndrome 2	OMIM:616294
33	0.8468	Mowat-Wilson syndrome due to a ZEB2 point mutation	ORPHA:261552
34	0.8457	Tatton-Brown-Rahman syndrome	OMIM:615879
35	0.8438	Fontaine progeroid syndrome	OMIM:612289
36	0.8343	Neurodevelopmental disorder with structural brain anomalies and dysmorphic facies	OMIM:618577
37	0.8338	Hypogonadotropic hypogonadism 26 with or without anosmia	OMIM:619718
38	0.8312	Microphthalmia, syndromic 6	OMIM:607932
39	0.829	Diabetes mellitus, neonatal, with congenital hypothyroidism	OMIM:610199
40	0.8249	Multiple congenital anomalies-hypotonia-seizures syndrome 3	OMIM:615398
41	0.8219	Craniofrontonasal dysplasia	OMIM:304110
42	0.8215	Cole-Carpenter syndrome 1	OMIM:112240
43	0.8201	Chondrodysplasia with joint dislocations, GPAPP type	OMIM:614078
44	0.8197	Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome	ORPHA:500150
45	0.8196	DOORS syndrome	ORPHA:79500
45	0.8196	DOORS syndrome	ORPHA:79500
47	0.8165	Craniosynostosis 1	OMIM:123100
48	0.8164	Noonan syndrome 3	OMIM:609942
49	0.8118	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis	OMIM:207410
50	0.7961	Gorlin-Chaudhry-Moss syndrome	ORPHA:2095
51	0.7871	Trichothiodystrophy 6, nonphotosensitive	OMIM:616943
52	0.7861	Developmental delay with short stature, dysmorphic facial features, and sparse hair	OMIM:616901
53	0.7812	Ritscher-Schinzel syndrome 4	OMIM:619435
54	0.779	Jackson-Weiss syndrome	OMIM:123150
54	0.779	Jackson-Weiss syndrome	OMIM:123150
56	0.7789	FGFR2-related bent bone dysplasia	ORPHA:313855
57	0.7712	Bent bone dysplasia syndrome	OMIM:614592
58	0.7667	Frontonasal dysplasia-alopecia-genital anomalies syndrome	ORPHA:228390
59	0.76	Mucolipidosis II alpha/beta	OMIM:252500
60	0.753	Aymé-Gripp syndrome	ORPHA:1272
61	0.7528	Coffin-Siris syndrome 12	OMIM:619325
62	0.749	Craniofacial-skeletal-dermatologic dysplasia	OMIM:101600
62	0.749	Pfeiffer syndrome	OMIM:101600
64	0.7456	KBG syndrome	ORPHA:2332
65	0.7434	Coffin-Lowry syndrome	OMIM:303600
66	0.7417	Saethre-Chotzen syndrome	ORPHA:794
66	0.7417	Saethre-Chotzen syndrome	ORPHA:794
66	0.7417	Saethre-Chotzen syndrome	ORPHA:794
69	0.7406	Rubinstein-Taybi syndrome 1	OMIM:180849
70	0.7402	Canavan disease	OMIM:271900
71	0.7371	Opitz-Kaveggia syndrome	OMIM:305450
72	0.7362	Neurodevelopmental disorder with speech impairment and dysmorphic facies	OMIM:619056
73	0.7359	Multiple congenital anomalies-neurodevelopmental syndrome, X-linked	OMIM:301056
74	0.7348	X-linked intellectual disability, Van Esch type	ORPHA:163976
75	0.7347	Cornelia de Lange syndrome 3	OMIM:610759
76	0.7339	Proximal 16p11.2 microdeletion syndrome	ORPHA:261197
77	0.732	AHDC1-related intellectual disability-obstructive sleep apnea-mild dysmorphism syndrome	ORPHA:412069
78	0.7309	Microcephalic cortical malformations-short stature due to RTTN deficiency	ORPHA:468631
79	0.7303	D-bifunctional protein deficiency	OMIM:261515
80	0.7295	17q21.31 microdeletion syndrome	ORPHA:363958
81	0.7292	Ehlers-Danlos syndrome, musculocontractural type 1	OMIM:601776
82	0.7279	Greig cephalopolysyndactyly syndrome	OMIM:175700
83	0.7273	Ogden syndrome	OMIM:300855
84	0.7264	Intellectual developmental disorder, X-linked syndromic, Turner type	OMIM:309590
85	0.7239	Short-rib thoracic dysplasia 13 with or without polydactyly	OMIM:616300
86	0.7226	Peroxisome biogenesis disorder 5A (Zellweger)	OMIM:614866
87	0.7218	Cranioectodermal dysplasia 1	OMIM:218330
88	0.7203	Ayme-Gripp syndrome	OMIM:601088
89	0.7185	Hao-Fountain syndrome	OMIM:616863
90	0.7159	1p36 deletion syndrome	ORPHA:1606
90	0.7159	1p36 deletion syndrome	ORPHA:1606
90	0.7159	1p36 deletion syndrome	ORPHA:1606
90	0.7159	1p36 deletion syndrome	ORPHA:1606
90	0.7159	1p36 deletion syndrome	ORPHA:1606
90	0.7159	1p36 deletion syndrome	ORPHA:1606
90	0.7159	1p36 deletion syndrome	ORPHA:1606
90	0.7159	1p36 deletion syndrome	ORPHA:1606
90	0.7159	1p36 deletion syndrome	ORPHA:1606
90	0.7159	1p36 deletion syndrome	ORPHA:1606
90	0.7159	1p36 deletion syndrome	ORPHA:1606
90	0.7159	1p36 deletion syndrome	ORPHA:1606
90	0.7159	1p36 deletion syndrome	ORPHA:1606
103	0.7137	FG syndrome type 1	ORPHA:93932
104	0.7131	?Cranioectodermal dysplasia 3	OMIM:614099
105	0.71	Baraitser-Winter cerebrofrontofacial syndrome	ORPHA:2995
105	0.71	Baraitser-Winter cerebrofrontofacial syndrome	ORPHA:2995
107	0.7098	ALG9-CDG	ORPHA:79328
108	0.7092	Neurodevelopmental disorder with hypotonia, facial dysmorphism, and brain abnormalities	OMIM:619383
109	0.709	Dubowitz syndrome	ORPHA:235
109	0.709	Dubowitz syndrome	ORPHA:235
111	0.7084	Sotos syndrome	ORPHA:821
111	0.7084	Sotos syndrome	ORPHA:821
111	0.7084	Sotos syndrome	ORPHA:821
114	0.7072	SLC35A2-CDG	ORPHA:356961
115	0.7063	Congenital disorder of glycosylation, type IIn	OMIM:616721
116	0.7062	Peters-plus syndrome	OMIM:261540
117	0.7059	Carpenter syndrome 2	OMIM:614976
118	0.7054	Tenorio syndrome	OMIM:616260
119	0.7047	Peroxisome biogenesis disorder 12A (Zellweger)	OMIM:614886
120	0.7025	CINCA syndrome	ORPHA:1451
121	0.7014	Autosomal recessive cutis laxa type 2, classic type	ORPHA:357074
121	0.7014	Autosomal recessive cutis laxa type 2, classic type	ORPHA:357074
121	0.7014	Autosomal recessive cutis laxa type 2, classic type	ORPHA:357074
124	0.7002	SLC39A8-CDG	ORPHA:468699
125	0.6993	Wrinkly skin syndrome	ORPHA:2834
126	0.6992	Arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development	OMIM:618265
127	0.6991	22q11.2 deletion syndrome	ORPHA:567
127	0.6991	22q11.2 deletion syndrome	ORPHA:567
127	0.6991	22q11.2 deletion syndrome	ORPHA:567
127	0.6991	22q11.2 deletion syndrome	ORPHA:567
127	0.6991	22q11.2 deletion syndrome	ORPHA:567
127	0.6991	22q11.2 deletion syndrome	ORPHA:567
127	0.6991	22q11.2 deletion syndrome	ORPHA:567
127	0.6991	22q11.2 deletion syndrome	ORPHA:567
127	0.6991	22q11.2 deletion syndrome	ORPHA:567
136	0.6944	Osteopathia striata-cranial sclerosis syndrome	ORPHA:2780
137	0.6942	Osteopathia striata with cranial sclerosis	OMIM:300373
138	0.6937	Mucopolysaccharidosis type IIIA (Sanfilippo A)	OMIM:252900
139	0.6924	Trichothiodystrophy	ORPHA:33364
139	0.6924	Trichothiodystrophy	ORPHA:33364
139	0.6924	Trichothiodystrophy	ORPHA:33364
139	0.6924	Trichothiodystrophy	ORPHA:33364
139	0.6924	Trichothiodystrophy	ORPHA:33364
139	0.6924	Trichothiodystrophy	ORPHA:33364
139	0.6924	Trichothiodystrophy	ORPHA:33364
139	0.6924	Trichothiodystrophy	ORPHA:33364
139	0.6924	Trichothiodystrophy	ORPHA:33364
148	0.6918	Hyperlysinemia	ORPHA:2203
149	0.6907	Mucopolysaccharidosis type IIIC (Sanfilippo C)	OMIM:252930
150	0.69	Infantile osteopetrosis with neuroaxonal dysplasia	ORPHA:85179
151	0.6887	Arboleda-Tham syndrome	OMIM:616268
152	0.688	Autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome	ORPHA:457193
153	0.6878	Corpus callosum agenesis-neuronopathy syndrome	ORPHA:1496
154	0.6872	Lathosterolosis	ORPHA:46059
155	0.6854	Short-rib thoracic dysplasia 9 with or without polydactyly	OMIM:266920
156	0.6837	Phosphoserine aminotransferase deficiency, infantile/juvenile form	ORPHA:284417
157	0.683	Neurodevelopmental disorder with central hypotonia and dysmorphic facies	OMIM:619797
158	0.6828	Cranioectodermal dysplasia 4	OMIM:614378
159	0.6827	TARP syndrome	ORPHA:2886
160	0.682	DEGCAGS syndrome	OMIM:619488
160	0.682	17q12 microdeletion syndrome	ORPHA:261265
160	0.682	17q12 microdeletion syndrome	ORPHA:261265
163	0.6816	?Neurodevelopmental disorder with microcephaly, seizures, and brain atrophy	OMIM:619076
164	0.6811	Ear-patella-short stature syndrome	ORPHA:2554
164	0.6811	Ear-patella-short stature syndrome	ORPHA:2554
164	0.6811	Ear-patella-short stature syndrome	ORPHA:2554
164	0.6811	Ear-patella-short stature syndrome	ORPHA:2554
164	0.6811	Ear-patella-short stature syndrome	ORPHA:2554
164	0.6811	Ear-patella-short stature syndrome	ORPHA:2554
164	0.6811	Ear-patella-short stature syndrome	ORPHA:2554
171	0.6791	Premature aging syndrome, Penttinen type	OMIM:601812
172	0.6778	Donnai-Barrow syndrome	OMIM:222448
173	0.6776	1p31p32 microdeletion syndrome	ORPHA:401986
174	0.6773	Isolated permanent neonatal diabetes mellitus	ORPHA:99885
174	0.6773	Isolated permanent neonatal diabetes mellitus	ORPHA:99885
174	0.6773	Isolated permanent neonatal diabetes mellitus	ORPHA:99885
174	0.6773	Isolated permanent neonatal diabetes mellitus	ORPHA:99885
174	0.6773	Isolated permanent neonatal diabetes mellitus	ORPHA:99885
174	0.6773	Isolated permanent neonatal diabetes mellitus	ORPHA:99885
180	0.6769	Developmental delay, impaired speech, and behavioral abnormalities	OMIM:619475
181	0.6749	Neurodevelopmental disorder with epilepsy and hemochromatosis	OMIM:301072
182	0.6732	Marshall-Smith syndrome	OMIM:602535
183	0.6728	Desanto-Shinawi syndrome	OMIM:616708
184	0.6727	Kleefstra syndrome due to a point mutation	ORPHA:261652
184	0.6727	Kleefstra syndrome due to a point mutation	ORPHA:261652
186	0.6724	Hennekam syndrome	ORPHA:2136
186	0.6724	Hennekam syndrome	ORPHA:2136
186	0.6724	Hennekam syndrome	ORPHA:2136
189	0.6714	Hartsfield syndrome	OMIM:615465
189	0.6714	Smith-Magenis syndrome	OMIM:182290
189	0.6714	Fucosidosis	ORPHA:349
189	0.6714	Basilicata-Akhtar syndrome	OMIM:301032
189	0.6714	?Pontocerebellar hypoplasia, type 3	OMIM:608027
189	0.6714	Renpenning syndrome	OMIM:309500
189	0.6714	Monosomy 22q13.3	ORPHA:48652
189	0.6714	Intellectual developmental disorder, X-linked 99, syndromic, female-restricted	OMIM:300968
197	0.6712	Holoprosencephaly 13, X-linked	OMIM:301043
198	0.6707	GAPO syndrome	OMIM:230740
199	0.6697	Branchioskeletogenital syndrome	ORPHA:1299
200	0.6695	ZTTK syndrome	OMIM:617140
201	0.6693	Hyperphosphatasia with impaired intellectual development syndrome 1	OMIM:239300
202	0.6692	3MC syndrome 2	OMIM:265050
203	0.6691	Distal deletion 15q	ORPHA:1596
204	0.6688	Hamamy syndrome	OMIM:611174
205	0.6685	Kleefstra syndrome due to 9q34 microdeletion	ORPHA:96147
206	0.6683	Intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies	OMIM:617452
206	0.6683	Intellectual developmental disorder, autosomal dominant 57	OMIM:618050
208	0.6674	Primordial dwarfism-immunodeficiency-lipodystrophy syndrome	OMIM:620005
209	0.6663	Khan-Khan-Katsanis syndrome	OMIM:618460
210	0.6646	Campomelic dysplasia with autosomal sex reversal	OMIM:114290
211	0.6642	Neurodevelopmental disorder with seizures, microcephaly, and brain abnormalities	OMIM:620024
212	0.6639	Intellectual developmental disorder, autosomal dominant 29	OMIM:616078
213	0.6628	Pettigrew syndrome	OMIM:304340
214	0.662	Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 3	OMIM:619950
215	0.6619	SADDAN	OMIM:616482
215	0.6619	Macrocephaly-developmental delay syndrome	ORPHA:397612
217	0.6618	Yunis-Varon syndrome	OMIM:216340
218	0.6617	GM1 gangliosidosis type 1	ORPHA:79255
219	0.6616	Shprintzen-Goldberg syndrome	OMIM:182212
220	0.6613	Intellectual developmental disorder, X-linked syndromic 35	OMIM:300998
221	0.6591	Autosomal dominant cutis laxa	ORPHA:90348
221	0.6591	Cutis laxa, autosomal dominant 3	OMIM:616603
221	0.6591	Autosomal dominant cutis laxa	ORPHA:90348
221	0.6591	Autosomal dominant cutis laxa	ORPHA:90348
221	0.6591	Occipital horn syndrome	OMIM:304150
226	0.6575	Radio-Tartaglia syndrome	OMIM:619312
227	0.657	Intellectual disability-seizures-hypophosphatasia-ophthalmic-skeletal anomalies syndrome	ORPHA:369837
228	0.6567	Kenny-Caffey syndrome, type 1	OMIM:244460
229	0.6566	Intellectual disability-strabismus syndrome	ORPHA:363528
230	0.6564	Osteogenesis imperfecta, type VII	OMIM:610682
231	0.6558	Duane retraction syndrome	ORPHA:233
231	0.6558	Duane retraction syndrome	ORPHA:233
231	0.6558	Intellectual developmental disorder and microcephaly with pontine and cerebellar hypoplasia	OMIM:300749
231	0.6558	Duane retraction syndrome	ORPHA:233
235	0.6553	Osteopetrosis, autosomal recessive 1	OMIM:259700
236	0.6552	Cleidocranial dysplasia, forme fruste, with brachydactyly	OMIM:119600
237	0.6544	RERE-related neurodevelopmental syndrome	ORPHA:494344
237	0.6544	Fucosidosis	OMIM:230000
237	0.6544	Neurodevelopmental disorder with seizures, spasticity, and complete or partial agenesis of the corpus callosum	OMIM:620250
240	0.6543	Yunis-Varon syndrome	ORPHA:3472
240	0.6543	Yunis-Varon syndrome	ORPHA:3472
242	0.6532	Phelan-McDermid syndrome	OMIM:606232
243	0.6527	Cornelia de Lange syndrome 5	OMIM:300882
244	0.6526	Hao-Fountain syndrome due to 16p13.2 microdeletion	ORPHA:500055
245	0.6524	Yoon-Bellen neurodevelopmental syndrome	OMIM:619701
246	0.652	Wiedemann-Rautenstrauch syndrome	OMIM:264090
247	0.6515	Otopalatodigital syndrome, type II	OMIM:304120
248	0.6514	CEBALID syndrome	OMIM:618774
249	0.6509	Peroxisome biogenesis disorder 1A (Zellweger)	OMIM:214100
250	0.6506	Oculodentodigital dysplasia	ORPHA:2710
251	0.6503	Opitz GBBB syndrome	ORPHA:2745
252	0.6502	Multiple congenital anomalies-hypotonia-seizures syndrome 2	OMIM:300868
253	0.6496	Early-onset seizures-distal limb anomalies-facial dysmorphism-global developmental delay syndrome	ORPHA:505237
254	0.6492	Pierpont syndrome	OMIM:602342
255	0.6487	Cranioectodermal dysplasia 2	OMIM:613610
256	0.6484	Coffin-Siris syndrome 6	OMIM:617808
257	0.6482	Peroxisome biogenesis disorder 13A (Zellweger)	OMIM:614887
258	0.6477	Autosomal recessive hypophosphatemic rickets	ORPHA:289176
258	0.6477	Autosomal recessive hypophosphatemic rickets	ORPHA:289176
260	0.6474	Robinow syndrome, autosomal recessive	OMIM:268310
261	0.6469	Neurodevelopmental disorder with speech delay and variable ocular anomalies	OMIM:619989
262	0.646	Coffin-Siris syndrome 1	OMIM:135900
263	0.6457	Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome	ORPHA:444077
264	0.6453	Potocki-Shaffer syndrome	ORPHA:52022
264	0.6453	Potocki-Shaffer syndrome	ORPHA:52022
264	0.6453	Potocki-Shaffer syndrome	ORPHA:52022
267	0.6448	Diamond-Blackfan anemia 1	OMIM:105650
268	0.6429	D-glyceric aciduria	ORPHA:941
269	0.6424	Neurodevelopmental disorder with microcephaly, seizures, and cortical atrophy	OMIM:617802
270	0.6422	Methylcobalamin deficiency type cblE	ORPHA:2169
271	0.6416	Combined oxidative phosphorylation deficiency 55	OMIM:619743
272	0.6412	Gracile bone dysplasia	OMIM:602361
273	0.641	Mosaic variegated aneuploidy syndrome	ORPHA:1052
273	0.641	Mosaic variegated aneuploidy syndrome	ORPHA:1052
273	0.641	Mosaic variegated aneuploidy syndrome	ORPHA:1052
273	0.641	Mosaic variegated aneuploidy syndrome	ORPHA:1052
273	0.641	Mosaic variegated aneuploidy syndrome	ORPHA:1052
278	0.6408	Lenz-Majewski hyperostotic dwarfism	ORPHA:2658
279	0.6404	Biliary, renal, neurologic, and skeletal syndrome	OMIM:619534
280	0.6396	B3GALT6-related spondylodysplastic Ehlers-Danlos syndrome	ORPHA:536467
281	0.6392	Biotinidase deficiency	ORPHA:79241
282	0.639	Kabuki syndrome 1	OMIM:147920
283	0.6387	Witteveen-Kolk syndrome	OMIM:613406
284	0.6377	Crouzon syndrome	ORPHA:207
284	0.6377	Crouzon syndrome	ORPHA:207
286	0.6376	Developmental and epileptic encephalopathy 95	OMIM:618143
287	0.6368	Familial thyroid dyshormonogenesis	ORPHA:95716
287	0.6368	Familial thyroid dyshormonogenesis	ORPHA:95716
287	0.6368	Familial thyroid dyshormonogenesis	ORPHA:95716
287	0.6368	Familial thyroid dyshormonogenesis	ORPHA:95716
287	0.6368	Familial thyroid dyshormonogenesis	ORPHA:95716
287	0.6368	Familial thyroid dyshormonogenesis	ORPHA:95716
287	0.6368	Microcephaly-capillary malformation syndrome	OMIM:614261
294	0.6365	Ogden syndrome	ORPHA:276432
294	0.6365	Intellectual developmental disorder with impaired language and dysmorphic facies	OMIM:618653
296	0.6361	Primrose syndrome	OMIM:259050
297	0.636	DOORS syndrome	OMIM:220500
298	0.6359	Sweeney-Cox syndrome	OMIM:617746
299	0.6357	Congenital hypotonia, epilepsy, developmental delay, and digital anomalies	OMIM:618494
299	0.6357	Global developmental delay with speech and behavioral abnormalities	OMIM:619243
299	0.6357	Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies	OMIM:618659
302	0.6356	ALG3-CDG	ORPHA:79321
303	0.6354	Brain abnormalities, neurodegeneration, and dysosteosclerosis	OMIM:618476
304	0.6353	Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria)	OMIM:612073
305	0.6351	Musculocontractural Ehlers-Danlos syndrome	ORPHA:2953
305	0.6351	Musculocontractural Ehlers-Danlos syndrome	ORPHA:2953
307	0.6349	Hypophosphatasia, infantile	OMIM:241500
308	0.6348	Bilateral parasagittal parieto-occipital polymicrogyria	ORPHA:208441
308	0.6348	Lissencephaly 5	OMIM:615191
308	0.6348	Alpha-thalassemia-X-linked intellectual disability syndrome	ORPHA:847
311	0.6347	Microcephaly-corpus callosum and cerebellar vermis hypoplasia-facial dysmorphism-intellectual disability syndrom	ORPHA:500159
312	0.6342	Donnai-Barrow syndrome	ORPHA:2143
313	0.6341	Mucopolysaccharidosis type IIIB (Sanfilippo B)	OMIM:252920
313	0.6341	Infantile neuroaxonal dystrophy 1	OMIM:256600
315	0.634	Sifrim-Hitz-Weiss syndrome	OMIM:617159
316	0.6333	Generalized arterial calcification of infancy	ORPHA:51608
316	0.6333	Occipital horn syndrome	ORPHA:198
316	0.6333	Generalized arterial calcification of infancy	ORPHA:51608
