rank	score	gene_symbol	gene_identifier
1	0.95	RYR2	ENSG00000198626
2	0.92	TSC1	ENSG00000165699
3	0.9	FGFR3	ENSG00000068078
4	0.89	RYR2	ENSG00000198626
5	0.88	RTTN	ENSG00000176225
6	0.87	EPG5	ENSG00000152223
7	0.86	SMAD3	ENSG00000166949
8	0.85	FBXO11	ENSG00000138081
9	0.84	RPS19	ENSG00000105372
10	0.83	FGFR2	ENSG00000066468
11	0.82	LONP1	ENSG00000196365
12	0.81	TGFBR2	ENSG00000163513
13	0.8	CAPN1	ENSG00000014216
14	0.79	TFAP2A	ENSG00000137203
15	0.78	EP300	ENSG00000100393
16	0.77	RET	ENSG00000165731
