rank	score	gene_symbol	gene_identifier
1	0.9	CHD7	ENSG00000171316
2	0.85	ARID1B	ENSG00000049618
3	0.8	KMT2D	ENSG00000167548
4	0.75	BCOR	ENSG00000183337
5	0.7	SMC1A	ENSG00000072501
6	0.65	SALL1	ENSG00000103449
7	0.6	RAD21	ENSG00000164754
8	0.55	EHMT1	ENSG00000181090
9	0.5	KANSL1	ENSG00000120071
10	0.45	KDM6A	ENSG00000147050
11	0.4	CREBBP	ENSG00000005339
12	0.35	EP300	ENSG00000100393
13	0.3	DIS3L2	ENSG00000144535
14	0.25	MLL2	ENSG00000167548
15	0.2	NAA10	ENSG00000102030
16	0.15	SMARCA4	ENSG00000127616
17	0.1	SETBP1	ENSG00000152217
