rank	score	gene_symbol	gene_identifier
1	0.9	FGFR3	ENSG00000068078
2	0.85	EP300	ENSG00000100393
3	0.8	TGFBR2	ENSG00000163513
4	0.75	ROR2	ENSG00000169071
5	0.7	RUNX2	ENSG00000124813
6	0.65	ALG9	ENSG00000086848
7	0.6	TSC1	ENSG00000165699
8	0.55	SALL1	ENSG00000103449
9	0.5	FBN2	ENSG00000138829
10	0.45	NF1	ENSG00000196712
11	0.4	ADGRG1	ENSG00000205336
12	0.35	DHCR24	ENSG00000116133
13	0.3	ADAMTS10	ENSG00000142303
14	0.25	APTX	ENSG00000137074
15	0.2	SLC6A8	ENSG00000130821
16	0.15	RYR2	ENSG00000198626
