rank	score	gene_symbol	gene_identifier
1	0.9	RAI1	ENSG00000108557
2	0.85	TSC1	ENSG00000165699
3	0.8	EPG5	ENSG00000152223
4	0.75	ADGRG1	ENSG00000205336
5	0.7	FGFR3	ENSG00000068078
6	0.65	VPS13A	ENSG00000197969
7	0.6	DHCR7	ENSG00000172893
8	0.55	RPS19	ENSG00000105372
9	0.5	SALL1	ENSG00000103449
10	0.45	SNAP29	ENSG00000099940
11	0.4	EP300	ENSG00000100393
12	0.35	FOXG1	ENSG00000176165
13	0.3	TCOF1	ENSG00000070814
14	0.25	BRPF1	ENSG00000156983
15	0.2	NT5C2	ENSG00000076685
16	0.15	GCDH	ENSG00000105607
