rank	score	gene_symbol	gene_identifier
1	0.9	MYH3	ENSG00000109063
2	0.85	FGFR3	ENSG00000068078
3	0.8	TSC1	ENSG00000165699
4	0.75	EPG5	ENSG00000152223
5	0.7	TMC1	ENSG00000165091
6	0.65	SMAD3	ENSG00000166949
7	0.6	GCDH	ENSG00000105607
8	0.55	EPOA2	
9	0.5	TINF2	ENSG00000092330
10	0.45	RTTN	ENSG00000176225
11	0.4	DYM	ENSG00000141627
12	0.35	FBXO7	ENSG00000100225
13	0.3	CHST14	ENSG00000169105
14	0.25	HHAT	ENSG00000054392
15	0.2	POGLUT1	ENSG00000163389
16	0.15	ACTN1	ENSG00000072110
17	0.1	FMR1	ENSG00000102081
