rank	score	gene_symbol	gene_identifier
1	0.9	MECP2	ENSG00000169057
2	0.85	SCN2A	ENSG00000136531
3	0.8	CDKL5	ENSG00000008086
4	0.75	STXBP1	ENSG00000136854
5	0.7	FOXG1	ENSG00000176165
6	0.65	SLC2A1	ENSG00000117394
7	0.6	CTNNB1	ENSG00000168036
8	0.55	CDKL5	ENSG00000008086
9	0.5	FGFR3	ENSG00000068078
10	0.45	MECP2	ENSG00000169057
11	0.4	ARX	ENSG00000004848
12	0.35	CHD2	ENSG00000173575
13	0.3	CACNA1A	ENSG00000141837
14	0.25	SYNGAP1	ENSG00000197283
15	0.2	ADNP	ENSG00000101126
16	0.15	GRIN2A	ENSG00000183454
