rank	score	gene_symbol	gene_identifier
1	0.97	ERCC6	ENSG00000225830
2	0.96	CHD7	ENSG00000171316
3	0.94	TSC2	ENSG00000103197
4	0.93	RUNX2	ENSG00000124813
5	0.92	FOXG1	ENSG00000176165
6	0.91	GDNF	ENSG00000168621
7	0.9	SCN5A	ENSG00000183873
8	0.89	FGFR2	ENSG00000066468
9	0.88	TMEM260	ENSG00000070269
10	0.87	SOX10	ENSG00000100146
11	0.86	FLNB	ENSG00000136068
12	0.85	FANCC	ENSG00000158169
13	0.84	CLCN1	ENSG00000188037
14	0.83	SOD1	ENSG00000142168
15	0.82	ATRX	ENSG00000085224
16	0.81	TMEM199	ENSG00000244045
