rank	score	gene_symbol	gene_identifier
1	0.85	LDHA	ENSG00000134333
2	0.8	ATP5A1	ENSG00000152234
3	0.75	SLC2A2	ENSG00000163581
4	0.7	HADHA	ENSG00000084754
5	0.65	PGAM2	ENSG00000164708
6	0.6	ATP2A2	ENSG00000174437
7	0.55	SLC16A1	ENSG00000155380
8	0.5	ADPRH	ENSG00000144843
9	0.45	COX5A	ENSG00000178741
10	0.4	GCK	ENSG00000106633
11	0.35	CKM	ENSG00000104879
12	0.3	GYS1	ENSG00000104812
13	0.25	ATP6V1B2	ENSG00000147416
14	0.2	COX6A1	ENSG00000111775
15	0.15	AGXT2L1	ENSG00000164089
16	0.1	TNNC2	ENSG00000101470
