rank	score	gene_symbol	gene_identifier
1	0.95	KDM6A	ENSG00000147050
2	0.94	EPG5	ENSG00000152223
3	0.92	TSC1	ENSG00000165699
4	0.9	TPM3	ENSG00000143549
5	0.88	ADAMTS10	ENSG00000142303
6	0.86	EP300	ENSG00000100393
7	0.85	MYH3	ENSG00000109063
8	0.83	FGFR3	ENSG00000068078
9	0.8	CENPJ	ENSG00000151849
10	0.78	RPS19	ENSG00000105372
11	0.75	COL6A1	ENSG00000142156
12	0.74	TSC2	ENSG00000103197
13	0.72	SMAD3	ENSG00000166949
14	0.7	LMNA	ENSG00000160789
15	0.68	COL5A1	ENSG00000130635
16	0.65	RUNX2	ENSG00000124813
17	0.62	TGFBR2	ENSG00000163513
18	0.6	AAGAB	ENSG00000103591
19	0.57	SNAP29	ENSG00000099940
20	0.55	NT5C2	ENSG00000076685
21	0.53	PYCR1	ENSG00000183010
