rank	score	gene_symbol	gene_identifier
1	0.95	RAI1	ENSG00000108557
2	0.92	EPG5	ENSG00000152223
3	0.9	ADGRG1	ENSG00000205336
4	0.86	TSC1	ENSG00000165699
5	0.85	DHCR7	ENSG00000172893
6	0.84	FGFR3	ENSG00000068078
7	0.82	EP300	ENSG00000100393
8	0.8	TMEM38B	ENSG00000095209
9	0.78	MYH3	ENSG00000109063
10	0.75	SLC6A8	ENSG00000130821
11	0.72	RYR2	ENSG00000198626
12	0.7	NRL	ENSG00000129535
13	0.68	LONP1	ENSG00000196365
14	0.65	COL11A1	ENSG00000060718
15	0.62	GCDH	ENSG00000105607
16	0.6	ACVR1	ENSG00000115170
