rank	score	gene_symbol	gene_identifier
1	0.95	ATP6V1A	ENSG00000114573
2	0.93	TPM3	ENSG00000143549
3	0.92	MYOT	ENSG00000120729
4	0.91	ACTA1	ENSG00000143632
5	0.9	EP300	ENSG00000100393
6	0.87	COL6A1	ENSG00000142156
7	0.85	SMAD3	ENSG00000166949
8	0.83	FKBP10	ENSG00000141756
9	0.82	COL5A1	ENSG00000130635
10	0.81	FBN2	ENSG00000138829
11	0.8	TSC2	ENSG00000103197
12	0.79	RPS19	ENSG00000105372
13	0.78	TSC1	ENSG00000165699
14	0.76	ROR2	ENSG00000169071
15	0.75	TP53RK	ENSG00000172315
16	0.74	SCN5A	ENSG00000183873
