rank	score	gene_symbol	gene_identifier
1	0.99	EPG5	ENSG00000152223
2	0.98	RTTN	ENSG00000176225
3	0.97	DHCR7	ENSG00000172893
4	0.96	CDH3	ENSG00000062038
5	0.95	TSC1	ENSG00000165699
6	0.94	RAI1	ENSG00000108557
7	0.93	SMAD3	ENSG00000166949
8	0.92	FGFR3	ENSG00000068078
9	0.91	TFAP2A	ENSG00000137203
10	0.9	TGFBR2	ENSG00000163513
11	0.89	FBN2	ENSG00000138829
12	0.88	SALL1	ENSG00000103449
13	0.87	NPR2	ENSG00000159899
14	0.86	DHCR24	ENSG00000116133
15	0.85	LONP1	ENSG00000196365
16	0.84	APTX	ENSG00000137074
