rank	score	gene_symbol	gene_identifier
1	0.9	MYOT	ENSG00000120729
2	0.8	CLCN1	ENSG00000188037
3	0.75	SCN5A	ENSG00000183873
4	0.7	RYR2	ENSG00000198626
5	0.65	ATP13A2	ENSG00000159363
6	0.6	ATXN2	ENSG00000204842
7	0.55	COL6A1	ENSG00000142156
8	0.5	FBXO7	ENSG00000100225
9	0.45	MYH3	ENSG00000109063
10	0.4	CHRNA1	ENSG00000138435
11	0.35	EP300	ENSG00000100393
12	0.3	NPR2	ENSG00000159899
13	0.25	LMNA	ENSG00000160789
14	0.2	SMAD3	ENSG00000166949
15	0.15	COL5A2	ENSG00000204262
16	0.1	MEF2C	ENSG00000081189
