rank	score	gene_symbol	gene_identifier
1	0.9	ATXN2	ENSG00000204842
2	0.85	DYT1	ENSG00000136827
3	0.8	DRD2	ENSG00000149295
4	0.75	PANK2	ENSG00000125779
5	0.7	THAP1	ENSG00000131931
6	0.65	TOR1A	ENSG00000136827
7	0.6	ATP1A3	ENSG00000105409
8	0.55	PRKRA	ENSG00000180228
9	0.5	PRRT2	ENSG00000167371
10	0.45	NKX2-1	ENSG00000136352
11	0.4	ATP13A2	ENSG00000159363
12	0.35	GCH1	ENSG00000131979
13	0.3	VPS13A	ENSG00000197969
14	0.25	FOXP2	ENSG00000128573
15	0.2	SLC6A3	ENSG00000142319
16	0.15	SLC2A1	ENSG00000117394
