rank	score	gene_symbol	gene_identifier
1	0.95	MPL	ENSG00000117400
2	0.91	TSC1	ENSG00000165699
3	0.89	RYR2	ENSG00000198626
4	0.85	FGFR3	ENSG00000068078
5	0.84	TGFBR2	ENSG00000163513
6	0.82	SMAD3	ENSG00000166949
7	0.81	NF1	ENSG00000196712
8	0.8	CTSA	ENSG00000064601
9	0.78	RET	ENSG00000165731
10	0.77	TNNI2	ENSG00000130598
11	0.76	NKX2-5	ENSG00000183072
12	0.75	GATA1	ENSG00000102145
13	0.73	JAK2	ENSG00000096968
14	0.72	FOXO3	ENSG00000118689
15	0.71	NFE2	ENSG00000123405
16	0.7	STAT5B	ENSG00000173757
