rank	score	gene_symbol	gene_identifier
1	0.98	ATP13A2	ENSG00000159363
2	0.96	APTX	ENSG00000137074
3	0.95	LONP1	ENSG00000196365
4	0.94	SLC6A8	ENSG00000130821
5	0.92	TMC1	ENSG00000165091
6	0.9	TSC1	ENSG00000165699
7	0.88	EPG5	ENSG00000152223
8	0.86	FGFR3	ENSG00000068078
9	0.84	EP300	ENSG00000100393
10	0.82	TFAP2A	ENSG00000137203
11	0.8	NPR2	ENSG00000159899
12	0.78	COL5A2	ENSG00000204262
13	0.76	CDH3	ENSG00000062038
14	0.74	SMAD3	ENSG00000166949
15	0.72	RET	ENSG00000165731
16	0.7	NF1	ENSG00000196712
