rank	score	gene_symbol	gene_identifier
1	0.95	ATP13A2	ENSG00000159363
2	0.9	SLC6A8	ENSG00000130821
3	0.85	ERF	ENSG00000105722
4	0.8	EPG5	ENSG00000152223
5	0.75	TMC1	ENSG00000165091
6	0.7	FBXO11	ENSG00000138081
7	0.65	APTX	ENSG00000137074
8	0.6	DHCR7	ENSG00000172893
9	0.55	MAF	ENSG00000178573
10	0.5	TSC1	ENSG00000165699
11	0.45	TFAP2A	ENSG00000137203
12	0.4	RAI1	ENSG00000108557
13	0.35	DHCR24	ENSG00000116133
14	0.3	FGFR3	ENSG00000068078
15	0.25	RPS19	ENSG00000105372
16	0.2	NRL	ENSG00000129535
17	0.15	ADGRG1	ENSG00000205336
18	0.1	FOXE1	ENSG00000178919
19	0.05	GFI1B	ENSG00000165702
