rank	score	disease_name	disease_identifier
1	0.95	Dyskeratosis congenita, autosomal dominant 2	OMIM:613989
2	0.93	Shwachman-Diamond syndrome 1	OMIM:260400
3	0.91	Cartilage-hair hypoplasia	OMIM:250250
4	0.89	Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation	OMIM:602450
5	0.87	Poikiloderma with neutropenia	OMIM:604173
6	0.85	Chronic granulomatous disease	OMIM:306400
7	0.83	Hyper IgE recurrent infection syndrome, autosomal recessive	OMIM:243700
8	0.81	Roifman syndrome	OMIM:616651
9	0.79	Combined immunodeficiency due to CRAC channel dysfunction	OMIM:612100
10	0.77	Ataxia-telangiectasia	OMIM:208900
