rank	score	gene_symbol	gene_identifier
1	0.95	COL5A1	ENSG00000130635
2	0.91	COL5A2	ENSG00000204262
3	0.89	FBN1	ENSG00000166147
4	0.86	FBN2	ENSG00000138829
5	0.82	FLNB	ENSG00000136068
6	0.79	TGFBR1	ENSG00000106799
7	0.76	TGFBR2	ENSG00000163513
8	0.75	TGFB1	ENSG00000105329
9	0.72	TGFB2	ENSG00000092969
10	0.7	SMAD3	ENSG00000166949
11	0.66	SMAD4	ENSG00000141646
12	0.65	ADAMTS10	ENSG00000142303
13	0.62	SALL1	ENSG00000103449
14	0.6	LMNA	ENSG00000160789
15	0.55	ACTA1	ENSG00000143632
15	0.55	ACTN1	ENSG00000072110
